EntryDate,EntryGradeLevelDescriptor,StudentUniqueId,SchoolId
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Doctors,1000006101,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Doctors,1000003446,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000003694,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000000338,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000002570,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000000388,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000000424,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000001435,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000002728,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000001213,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000005975,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000002388,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000002389,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000002727,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000007241,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000005949,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000001199,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000004810,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000001211,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000003644,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000007240,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000005940,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000002680,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000004791,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000002361,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000007224,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000005948,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000004761,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000002612,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000005907,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000005914,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000002623,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000005920,5
8/28/2017,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Freshman,1000002354,5
